Date,Value
01-01-2023,50.99342831
02-01-2023,51.9455787
03-01-2023,55.64797886
04-01-2023,59.34995623
05-01-2023,57.52797262
06-01-2023,58.89314203
07-01-2023,63.50377811
08-01-2023,62.44575627
09-01-2023,60.10025442
10-01-2023,61.81581925
11-01-2023,59.07813267
12-01-2023,57.96847847
13-01-2023,57.95412967
14-01-2023,51.95807404
15-01-2023,50.4734982
16-01-2023,50.84955808
17-01-2023,48.00306286
18-01-2023,48.80713048
19-01-2023,44.69515447
20-01-2023,42.28112874
21-01-2023,46.96133261
22-01-2023,42.88585412
23-01-2023,43.19938095
24-01-2023,40.37932889
25-01-2023,42.74095089
26-01-2023,45.06847346
27-01-2023,43.9389227
28-01-2023,48.70872256
29-01-2023,48.72521037
30-01-2023,51.48450877
31-01-2023,53.09007231
01-02-2023,60.21604608
02-02-2023,58.60348186
03-02-2023,58.44794222
04-02-2023,63.87633962
05-02-2023,61.12518826
06-02-2023,64.93531164
07-02-2023,61.12829421
08-02-2023,62.4833971
09-02-2023,65.18969863
10-02-2023,65.51433261
11-02-2023,63.24614712
12-02-2023,61.21858167
13-02-2023,59.144506
14-02-2023,54.91775286
15-02-2023,54.48273672
16-02-2023,53.06015281
17-02-2023,54.25738906
18-02-2023,51.18162313
19-02-2023,45.58756584
20-02-2023,48.71580344
21-02-2023,46.63819265
22-02-2023,45.81697517
23-02-2023,48.59484874
24-02-2023,50.06960491
25-02-2023,50.91979139
26-02-2023,48.80184817
27-02-2023,51.60183847
28-02-2023,54.86927202
01-03-2023,58.30956085
02-03-2023,57.62857116
03-03-2023,60.42888281
04-03-2023,60.69441909
05-03-2023,62.42862163
06-03-2023,68.08901908
07-03-2023,70.48220542
08-03-2023,68.54294402
09-03-2023,71.18847875
10-03-2023,69.96065156
11-03-2023,67.56820133
12-03-2023,68.79007668
13-03-2023,69.98078969
14-03-2023,65.35620671
15-03-2023,66.83693539
16-03-2023,56.58622412
17-03-2023,61.51459928
18-03-2023,58.10892612
19-03-2023,55.51092373
20-03-2023,54.66290925
21-03-2023,49.14868786
22-03-2023,51.66851428
23-03-2023,52.19639233
24-03-2023,54.23607308
25-03-2023,50.48057894
26-03-2023,50.57131191
27-03-2023,52.26685185
28-03-2023,56.55260966
29-03-2023,57.14237348
30-03-2023,57.42860254
31-03-2023,61.67609999
01-04-2023,63.07440599
02-04-2023,67.02548043
03-04-2023,65.7782874
04-04-2023,68.42154386
05-04-2023,69.91018265
06-04-2023,69.04291103
07-04-2023,73.44571803
08-04-2023,73.834329
09-04-2023,73.342268
10-04-2023,72.44893634
11-04-2023,69.26391175
12-04-2023,70.06260097
13-04-2023,68.71876032
14-04-2023,66.06293171
15-04-2023,65.45356552
16-04-2023,64.62739366
17-04-2023,65.66135171
18-04-2023,60.42521913
19-04-2023,58.98134732
20-04-2023,56.98741592
21-04-2023,52.31318434
22-04-2023,55.50582292
23-04-2023,55.51318582
24-04-2023,60.59217177
25-04-2023,55.98705633
26-04-2023,58.08909983
27-04-2023,58.89601697
